links,dates,places,scores_exterieur,scores_domicile,domiciles,exterieurs,vainqueurs
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/ol-angers-live/477467,2021-04-11 21:00:00,Lyon,0,3,Lyon,Angers,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lille-montpellier-live/477479,2021-04-16 21:00:00,Lille,1,1,Lille,Montpellier,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/angers-rennes-live/477475,2021-04-17 12:45:00,Angers,3,0,Angers,Rennes,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/om-lorient-live/477480,2021-04-17 17:00:00,Marseille,2,3,Marseille,Lorient,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/psg-asse-live/477483,2021-04-18 13:00:00,Paris,2,3,Paris-SG,Saint-Étienne,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/brest-lens-live/477477,2021-04-18 15:00:00,Brest,1,1,Brest,Lens,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/dijon-nice-live/477478,2021-04-18 15:00:00,Dijon,0,2,Dijon,Nice,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/reims-metz-live/477484,2021-04-18 15:00:00,Reims,0,0,Reims,Metz,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nimes-strasbourg-live/477482,2021-04-18 15:00:00,Nîmes,1,1,Nîmes,Strasbourg,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/bordeaux-monaco-live/477476,2021-04-18 17:05:00,Bordeaux,3,0,Bordeaux,Monaco,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nantes-ol-live/477481,2021-04-18 21:00:00,Nantes,2,1,Nantes,Lyon,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/reims-om-live/477491,2021-04-23 21:00:00,Reims,3,1,Reims,Marseille,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/asse-brest-live/477493,2021-04-24 13:00:00,Saint-Étienne,2,1,Saint-Étienne,Brest,exterieur
